date,symbol,actualEarningResult,estimatedEarning
2020-11-19,WSM,2.56,1.53
2020-11-19,INTU,0.94,0.37
2020-11-19,NTES,5.35,2.56
2020-11-19,DAO,-7.73,-7.7
2020-11-19,WDAY,0.86,0.67
2020-11-19,MAXN,-2.74,-2.07
2020-11-19,OPRA,0.08,0.31
2020-11-19,NCNA,-24,-18.8
2020-11-19,QIWI,52.49,45.62
2020-11-19,CAAP,-0.9,-0.41
2020-11-19,CLIR,-0.06,-0.05
2020-11-19,PRPO,-0.21,-0.2
2020-10-28,VVV,0.46,0.37
2020-10-28,SRI,0.18,-0.15
2020-10-27,XLNX,0.79,0.74
2020-12-01,CTRN,0.59,0.56
2020-11-20,ARDS,-0.65,-0.63
2020-11-20,BKE,0.85,0.55
2020-11-20,BNR,-1.22,-0.76
2020-11-20,IEC,0.18,0.19
2020-11-20,FL,1.21,0.63
2020-11-20,HHR,16.64,11.02
2020-11-20,RMR,0.38,0.39
2020-11-20,HIBB,1.45,0.45
2020-11-20,USA,-0.05,-0.05
2020-11-20,HAYN,-0.46,-0.7
2020-11-20,IIIV,0.2,0.18
2020-11-20,GOTU,-3.62,-2.02
2020-11-20,BRBR,0.25,0.19
2020-11-20,DUO,0.07,0.2
2020-10-30,CBOE,1.11,1.06
2020-10-30,CIXPF,0.09,0.05
2020-11-22,CHJTF,0.1,0.1
2020-11-22,KUBTY,1.44,1.45
2020-11-22,PTJSF,7.15,13.45
2020-11-23,AMBA,0.09,0.05
2020-11-23,NWFFF,0.02,-0.05
2020-11-23,AVAL,0.17,0.09
2020-11-23,ARWR,-0.48,0.12
2020-11-23,A,0.98,0.93
2020-11-23,BRLGF,0.05,0.11
2020-11-23,BPIRF,0.05,0.14
2020-11-23,TWST,-0.54,-0.7
2020-11-23,BLRX,-0.3,-0.35
2020-11-23,BZUN,1.52,1.29
2020-11-23,SDPNF,0.03,0.03
2020-11-23,CBT,0.68,0.55
2020-11-23,MSP,0.18,0.19
2020-11-23,MNR,-0.03,0.04
2020-11-23,COE,1.38,0.52
2020-11-23,CENT,0.25,-0.06
2020-11-23,CANG,11.87,0.51
2020-11-23,CENTA,0.25,-0.02
2020-11-23,DQ,0.27,0.32
2020-11-23,MIMNF,0.01,0.02
2020-11-23,DSX,-0.09,-0.08
2020-11-23,TNP,-0.42,-0.32
2020-11-23,ENTA,-1.46,-0.95
2020-11-23,KFY,0.54,0.05
2020-11-23,RUHN,-0.24,0.06
2020-11-23,LEJU,0.11,0.11
2020-11-23,MARK,0.04,-0.04
2020-11-23,URBN,0.78,0.45
2020-11-23,NTNX,-0.44,-0.57
2020-11-23,SCND,-0.09,-0.36
2020-11-23,PRAX,-12.1,-0.73
2020-11-23,NIU,1.14,1.43
2020-11-23,SJ,1.17,0.83
2020-11-23,ZEPP,1.85,2.62
2020-06-30,0Q1G.L,1.89,1.5756000000000001
2020-03-31,0Q1G.L,1.75,1.4948
2020-11-24,VNET,0.48,-0.19
2020-11-24,AMWD,1.97,1.88
2020-11-24,AIABF,-0.26,-0.29
2020-11-24,ANCUF,0.66,0.52
2020-11-24,ADI,1.44,1.33
2020-11-24,AEO,0.35,0.34
2020-11-24,PLAN,-0.05,-0.1
2020-11-24,ICLK,0.03,0.02
2020-11-24,ADSK,1.04,0.96
2020-11-24,AUIAF,-0.08,-0.09
2020-11-24,AWLCF,-0.02,-0.03
2020-11-24,TVAVF,0.05,0.06
2020-11-24,BURL,0.29,0.16
