eps,estimate,error
0.25,0.22400000000000003,0.025999999999999968
0.46,0.404,0.055999999999999994
1.16,0.891,0.2689999999999999
1.3,1.404,-0.10399999999999987
0.34,0.196,0.14400000000000002
0.05,0.038,0.012000000000000004
0.2,0.23399999999999999,-0.033999999999999975
1.13,0.8210000000000001,0.30899999999999983
1.36,1.364,-0.0040000000000000036
-0.7,-0.4109999999999999,-0.28900000000000003
-0.04,-0.34199999999999997,0.302
0.16,0.001000000000000012,0.159
0.67,0.32899999999999996,0.3410000000000001
0.72,0.745,-0.025000000000000022
0.19,0.42400000000000004,-0.23400000000000004
0.26,0.36000000000000004,-0.10000000000000003
0.27,0.2720000000000001,-0.0020000000000000573
0.44,0.434,0.006000000000000005
-0.17,-0.15,-0.020000000000000018
0.18,0.15400000000000003,0.025999999999999968
1.2,1.1580000000000001,0.041999999999999815
0.97,0.891,0.07899999999999996
0.94,0.923,0.016999999999999904
0.73,0.8390000000000001,-0.1090000000000001
0.57,0.5979999999999999,-0.027999999999999914
0.28,0.011000000000000001,0.269
-1.72,-2.129,0.40900000000000003
0.1,0.174,-0.07399999999999998
0.48,0.28,0.19999999999999996
1.58,1.5390000000000001,0.040999999999999925
0.46,0.48900000000000005,-0.029000000000000026
0.58,0.551,0.028999999999999915
-0.01,-0.0052301321,-0.0047698679
1.88,1.9060000000000001,-0.026000000000000245
0.48,0.34500000000000003,0.13499999999999995
0.55,0.523,0.027000000000000024
0.83,1.2449999999999999,-0.4149999999999999
0.56,0.472,0.08800000000000008
0.97,0.975,-0.0050000000000000044
-0.17,-0.156,-0.014000000000000012
0.26,0.302,-0.04199999999999998
0.6,0.42000000000000004,0.17999999999999994
0.88,0.8140000000000001,0.06599999999999995
0.13,0.15100000000000002,-0.02100000000000002
0.37,0.16099999999999998,0.20900000000000002
0.04,-0.06299999999999999,0.10299999999999998
1.62,1.7570000000000001,-0.137
1.25,0.777,0.473
0.17,0.21800000000000003,-0.048000000000000015
-0.22,-0.13399999999999998,-0.08600000000000002
-5.04,-0.9419999999999998,-4.098
0.45,0.421,0.029000000000000026
0.79,0.874,-0.08399999999999996
-0.2,-0.16100000000000003,-0.03899999999999998
0.7,0.8400000000000001,-0.14000000000000012
0.32,0.343,-0.02300000000000002
0.66,0.595,0.06500000000000006
1.2,1.2849999999999997,-0.08499999999999974
0.22,0.38499999999999995,-0.16499999999999995
0.52,0.519,0.0010000000000000009
-0.56,-0.34900000000000003,-0.21100000000000002
0.77,0.6929999999999998,0.07700000000000018
1.12,1.009,0.11100000000000021
0.45,0.41600000000000004,0.033999999999999975
-0.36,-0.35699999999999993,-0.003000000000000058
0.8,0.817,-0.016999999999999904
0.98,1.2040000000000002,-0.2240000000000002
0.5,0.15799999999999997,0.342
-0.19,0.098,-0.28800000000000003
0.46,0.40700000000000003,0.05299999999999999
0.12,0.08700000000000001,0.03299999999999999
2.88,2.168,0.7119999999999997
0.46,0.41575000000000006,0.044249999999999956
0.94,0.916,0.02399999999999991
0.51,0.7894012945,-0.27940129449999995
0.3,0.386,-0.08600000000000002
0.16,0.11299999999999999,0.047000000000000014
2.41,2.6729999999999996,-0.26299999999999946
0.2,0.334,-0.134
0.39,0.39,0.0
-0.25,-0.10400000000000001,-0.146
1.64,1.4380000000000002,0.20199999999999974
0.4,0.9530000000000001,-0.553
